Nombre,Editorial,Año,Suma de Ventas Millones
Famicom Mini: Makaimura,Capcom,2004,0.08
Famicom Mini: Mappy,Nintendo,2004,0.09
Famicom Mini: Mario Bros.,Nintendo,2004,0.08
Famicom Mini: Nazo no Murasame-Jou,Nintendo,2004,0.07
Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,Nintendo,2004,0.08
Famicom Mini: Star Soldier,Nintendo,2004,0.08
Famicom Mini: Super Mario Bros. 2,Nintendo,2004,0.42
Famicom Mini: TwinBee,Konami Digital Entertainment,2004,0.12
Famicom Mini: Wrecking Crew,Nintendo,2004,0.07
Famicom Remix Best Choice,Nintendo,2015,0.04
Family Fest Presents Circus Games,Ubisoft,2008,0.43999999999999995
Family Fest presents: Movie Games,Ubisoft,2008,0.23
Family Feud Decades,Ubisoft,2010,0.17
Family Feud: 2010 Edition,Ubisoft,2009,0.8999999999999999
Family Feud: 2012 Edition,Ubisoft,2011,0.31
Family Fortunes,Mindscape,2009,0.16999999999999998
Family Fun Football,Tecmo Koei,2009,0.11
Family Game Night 4: The Game Show,Electronic Arts,2011,0.37
Family GameShow,Zushi Games,2009,0.09
Family Guy,Take-Two Interactive,2006,0.19999999999999998
Family Guy: Back to the Multiverse,Activision,2012,0.54
Family Jockey,Namco Bandai Games,2008,0.01
Family Party: 30 Great Games,D3Publisher,2008,0.11
Family Party: 30 Great Games Outdoor Fun,D3Publisher,2009,0.16
Family Party: 30 Great Games Winter Fun,D3Publisher,2010,0.22
Family Party: 90 Great Games Party Pack,D3Publisher,2010,0.33
Family Party: Fitness Fun,D3Publisher,2010,0.15000000000000002
Family Trainer: Treasure Adventure,Namco Bandai Games,2010,0.06999999999999999
Famista '91,Namco Bandai Games,1990,0.3
Famista '92,Namco Bandai Games,1991,0.28
Famista Returns,Namco Bandai Games,2015,0.14
Fancy Nancy: Tea Party Time!,THQ,2010,0.18000000000000002
Fantasia: Music Evolved,Disney Interactive Studios,2014,0.21999999999999997
Fantastic 4,Activision,2005,1.01
Fantastic 4: Flame On,Activision,2005,0.29000000000000004
Fantastic Four,Acclaim Entertainment,1997,0.07
Fantastic Four: Rise of the Silver Surfer,Take-Two Interactive,2007,0.7600000000000001
Fantastic Pets,THQ,2011,0.41
Fantastic Voyage,20th Century Fox Video Games,1981,0.34
Fantasy Aquarium by DS,Mercury Games,2008,0.08
Fantasy Aquarium World,Destineer,2009,0.06
Fantasy Life,Nintendo,2012,1.13
Fantavision,Sony Computer Entertainment,2000,0.48000000000000004
Far Cry,Ubisoft,2004,0.05
Far Cry 2,Ubisoft,2008,3.5
Far Cry 3,Ubisoft,2012,7.45
Far Cry 4,Ubisoft,2014,8.66
Far Cry Instincts,Ubisoft,2005,0.5800000000000001
Far Cry Instincts Evolution,Ubisoft,2006,0.08
Far Cry Instincts Predator,Ubisoft,2006,0.25
Far Cry Vengeance,Ubisoft,2006,0.08
Far Cry: Primal,Ubisoft,2016,3.1299999999999994
Far East of Eden II: Manji Maru,Hudson Soft,2003,0.17
Far East of Eden II: Manji Maru,Hudson Soft,2006,0.01
Far East of Eden Shinden,Hudson Soft,1995,0.03
Far East of Eden Zero,Hudson Soft,1995,0.3
Farm Frenzy,Mumbo Jumbo,2008,0.01
Farm Frenzy 3,Alawar Entertainment,2009,0.04
Farm Frenzy 3,Unknown,2011,0.02
Farm Frenzy: Animal Country,City Interactive,2009,0.15
Farming 2017 - The Simulation,UIG Entertainment,2016,0.01
Farming Simulator 15 Expansion Pack,Focus Home Interactive,2015,0.01
Farming Simulator 2011,N/A,2010,0.13
Farming Simulator 2012,Excalibur Publishing,2012,0.13999999999999999
Farming Simulator 2013,Focus Home Interactive,2012,0.98
Farming Simulator 2013,Focus Home Interactive,2013,0.54
Farming Simulator 2014,Focus Home Interactive,2014,0.01
Farming Simulator 2015,Focus Home Interactive,2014,1.23
Farming Simulator 2015,Koch Media,2015,1.4100000000000001
Farmtopia,505 Games,2010,0.19
Fashion Studio: Paris Collection,Ubisoft,2009,0.14
Fashion Week Jr. Designer,505 Games,2009,0.04
Fashionable Puppy: Oshare na Koinu DS,MTO,2007,0.01
Fast & Furious: Showdown,Activision,2013,0.07
Fast Food,Unknown,1981,0.29000000000000004
Fast Food Panic,Nobilis,2009,0.06
Fast Food Panic,Nobilis,2010,0.14
Fat Princess: Fistful of Cake,Sony Computer Entertainment,2010,0.12
Fatal Frame,Tecmo Koei,2002,0.05
Fatal Frame,Wanadoo,2001,0.15000000000000002
Fatal Frame 2: Wii Edition,Nintendo,2012,0.1
Fatal Frame II: Crimson Butterfly,Ubisoft,2003,0.16
Fatal Frame II: Crimson Butterfly Director's Cut,Microsoft Game Studios,2004,0.05
Fatal Frame III: The Tormented,Take-Two Interactive,2005,0.08
Fatal Frame: Maiden of Black Water,Nintendo,2014,0.11
Fatal Fury,Takara,1992,0.39
Fatal Fury 2,Takara,1993,0.45
Fatal Fury Special,Takara,1994,0.56
Fatal Fury: Battle Archives Volume 1,Ignition Entertainment,2006,0.03
Fatal Fury: Battle Archives Volume 1 (JP sales),Ignition Entertainment,2006,0.01
Fatal Fury: Battle Archives Volume 2,SNK Playmore,2007,0.07
Fatal Fury: Battle Archives Volume 2 (JP sales),SNK Playmore,2007,0.01
Fatal Fury: Wild Ambition,SNK Playmore,1999,0.05
Fatal Inertia,Tecmo Koei,2007,0.13
Fate/Extra,Marvelous Interactive,2010,0.31
Fate/Extra CCC,Marvelous Entertainment,2013,0.12
Fate/hollow ataraxia,Type-Moon,2014,0.1
Fate/kaleid liner Prisma Illya,Kadokawa Games,2014,0.01
Fate/Stay Night [RÃ©alta Nua],Kadokawa Shoten,2007,0.17
Fate/Stay Night [RÃ©alta Nua],Kadokawa Shoten,2012,0.06
Fate/Tiger Colosseum,Capcom,2007,0.08
Fate/Tiger Colosseum Upper,Capcom,2008,0.06
Fate/Unlimited Codes,Capcom,2008,0.14
Fate/Unlimited Codes Portable,Capcom,2009,0.05
Fear Effect,Eidos Interactive,1998,0.72
Fear Effect 2: Retro Helix,Eidos Interactive,2001,0.18
Fear Factor: Unleashed,Hip Interactive,2004,0.14
Feel the Magic XY/XX,Sega,2004,0.29000000000000004
Felony 11-79,ASCII Entertainment,1997,0.11
Ferrari Challenge Trofeo Pirelli,System 3 Arcade Software,2008,0.16999999999999998
Ferrari Challenge Trofeo Pirelli Deluxe,System 3 Arcade Software,2009,0.02
Ferrari F355 Challenge,Sony Computer Entertainment,2002,0.06
Festa!! Hyper Girls Party,KID,2006,0.01
Field & Stream: Total Outdoorsman Challenge,505 Games,2010,0.09999999999999999
Field Commander,Sony Online Entertainment,2006,0.15000000000000002
FIFA 06 Soccer,Electronic Arts,2005,0.14
FIFA 06: Road to FIFA World Cup,Electronic Arts,2005,0.15
FIFA 12,Electronic Arts,2011,13.139999999999997
FIFA 14,Electronic Arts,2013,17.16
FIFA 15,Electronic Arts,2014,19.02
FIFA 16,Electronic Arts,2015,16.43
FIFA 17,Electronic Arts,2016,6.8999999999999995
FIFA 2000,Electronic Arts,1998,1.8699999999999999
FIFA 2001 Major League Soccer,Electronic Arts,2000,0.31999999999999995
FIFA 2001: Major League Soccer,Electronic Arts,2000,0.09
FIFA 99,Electronic Arts,1998,0.53
FIFA Manager 12,Electronic Arts,2011,0.04
FIFA Soccer,Electronic Arts,2005,0.12
FIFA Soccer,Electronic Arts,2012,0.62
FIFA Soccer 06,Electronic Arts,2005,5.13
FIFA Soccer 07,Electronic Arts,2006,6.379999999999999
FIFA Soccer 08,Electronic Arts,2007,9.5
FIFA Soccer 09,Electronic Arts,2008,8.66
FIFA Soccer 09 All-Play,Electronic Arts,2008,0.8999999999999999
FIFA Soccer 10,Electronic Arts,2009,10.730000000000002
FIFA Soccer 11,Electronic Arts,2010,12.549999999999997
FIFA Soccer 13,Electronic Arts,2012,16.150000000000002
FIFA Soccer 2002,Electronic Arts,2001,0.96
FIFA Soccer 2003,Electronic Arts,2002,4.17
FIFA Soccer 2003 (weekly jp sales),Electronic Arts,2002,0.04
FIFA Soccer 2004,Electronic Arts,2003,0.8900000000000001
FIFA Soccer 2005,Electronic Arts,2004,4.88
FIFA Soccer 64,Electronic Arts,1997,0.49
FIFA Soccer 96,Electronic Arts,1995,0.15999999999999998
FIFA Soccer 97,Electronic Arts,1996,0.15999999999999998
FIFA Soccer World Championship,Electronic Arts,2000,0.8300000000000001
FIFA Street,Electronic Arts,2005,0.45999999999999996
FIFA Street,Electronic Arts,2012,2.1999999999999997
FIFA Street 2,Electronic Arts,2006,0.75
FIFA Street 3,Electronic Arts,2008,0.7100000000000001
FIFA World Cup Germany 2006,Electronic Arts,2006,1.55
FIFA World Cup: Germany 2006,Electronic Arts,2006,0.03
FIFA: Road to  World Cup 98,Electronic Arts,1997,0.5700000000000001
FIFA: Road to World Cup 98,Electronic Arts,1997,0.74
Fifi and the Flowertots,Avanquest,2009,0.09999999999999999
Fight Club,Vivendi Games,2004,0.28
Fight Night 2004,Electronic Arts,2004,2.1599999999999997
Fight Night Champion,Electronic Arts,2011,1.95
Fight Night Round 2,Electronic Arts,2005,1.6300000000000001
Fight Night Round 2004,Electronic Arts,2004,0.67
Fight Night Round 3,Electronic Arts,2006,5.569999999999999
Fight Night Round 4,Electronic Arts,2009,2.96
Fighter Destiny 2,Imagineer,1999,0.05
Fighter Maker,Agetec,1998,0.17
Fighter Maker 2,Enterbrain,2002,0.07
Fighter Within,Ubisoft,2013,0.2
Fighters Destiny,Ocean,1998,0.16
Fighters MEGAMiX,Sega,1996,0.62
Fighters Uncaged,Ubisoft,2010,0.61
Fighting Fantasy: The Warlock of Firetop Mountain,Aspyr,2009,0.09999999999999999
Fighting Force,Eidos Interactive,1997,1.3199999999999998
Fighting Force 2,Eidos Interactive,1999,0.56
Fighting Force 64,Crave Entertainment,1999,0.11
Fighting Vipers,Sega,1995,0.4
Fighting Vipers 2,Sega,2000,0.04
Final Approach 2: 1st Priority,Princess Soft,2008,0.02
Final Doom,GT Interactive,1995,0.27
Final Fantasy,SquareSoft,1987,0.8400000000000001
Final Fantasy,SquareSoft,2000,0.51
Final Fantasy Adventure,SquareSoft,1991,0.38
Final Fantasy Anniversary Edition,Square Enix,2007,0.5800000000000001
Final Fantasy Anthology,Square EA,1999,0.8
Final Fantasy Chronicles,Square,2001,0.52
Final Fantasy Collection,Square,1999,0.44999999999999996
Final Fantasy Crystal Chronicles: Echoes of Time,Square Enix,2009,0.73
Final Fantasy Crystal Chronicles: Ring of Fates,Square Enix,2007,0.6699999999999999
Final Fantasy Crystal Chronicles: The Crystal Bearers,Square Enix,2009,0.41000000000000003
Final Fantasy Explorers,Square Enix,2014,0.52
Final Fantasy Fables: Chocobo Tales,Ubisoft,2006,0.25
Final Fantasy Fables: Chocobo's Dungeon,Square Enix,2007,0.21
Final Fantasy I & II,Square,1994,0.11
Final Fantasy I & II: Dawn of Souls,Nintendo,2004,1.19
Final Fantasy II,Square,1991,1.7800000000000002
Final Fantasy II,SquareSoft,1988,0.76
Final Fantasy II,SquareSoft,2001,0.25
Final Fantasy II Anniversary Edition,Square Enix,2007,0.5
Final Fantasy III,Square Enix,2006,2.12
Final Fantasy III,Square Enix,2012,0.11
Final Fantasy III,SquareSoft,1990,1.4
Final Fantasy III,SquareSoft,1994,3.4299999999999997
Final Fantasy IV,Square Enix,2007,1.26
Final Fantasy IV,SquareSoft,1997,0.31
Final Fantasy IV Advance,Nintendo,2005,0.6
Final Fantasy IV: The Complete Collection,Square Enix,2011,0.55
Final Fantasy IX,SquareSoft,2000,5.3100000000000005
Final Fantasy Legend III,SquareSoft,1991,0.76
Final Fantasy Tactics,SquareSoft,1997,2.45
Final Fantasy Tactics A2: Grimoire of the Rift,Square Enix,2007,0.79
Final Fantasy Tactics Advance,SquareSoft,2003,2.13
Final Fantasy Tactics: The War of the Lions,Square Enix,2007,1.16
Final Fantasy Type-0,Square Enix,2015,1.2199999999999998
Final Fantasy Type-0,Unknown,2011,0.81
Final Fantasy V,SquareSoft,1992,2.45
Final Fantasy V,SquareSoft,1998,0.17
Final Fantasy V Advance,Nintendo,2006,0.27
Final Fantasy VI,Sony Computer Entertainment,1999,0.09
Final Fantasy VI Advance,Nintendo,2006,0.29000000000000004
Final Fantasy VII,Sony Computer Entertainment,1997,9.72
Final Fantasy VII International,Square,1997,0.63
Final Fantasy VIII,SquareSoft,1999,7.859999999999999
Final Fantasy X,Sony Computer Entertainment,2001,8.040000000000001
Final Fantasy X / X-2 HD Remaster,Square Enix,2013,2.29
Final Fantasy X International,Square Enix,2004,0.27
Final Fantasy X/X-2 HD Remaster,Square Enix,2015,0.71
Final Fantasy X-2,Electronic Arts,2003,5.279999999999999
Final Fantasy X-2: International + Last Mission,Square Enix,2004,0.29
Final Fantasy XI,Square Enix,2006,0.19
Final Fantasy XI: All-In-One Pack 2006,Square Enix,2006,0.02
Final Fantasy XI: Chains of Promathia,Square Enix,2004,0.24
Final Fantasy XI: Rise of the Zilart,Square Enix,2003,0.13
Final Fantasy XI: Treasures of Aht Urhgan,Square Enix,2006,0.23
Final Fantasy XI: Ultimate Collection,Square Enix,2009,0.27
Final Fantasy XI: Vana'diel Collection 2008,Square Enix,2007,0.23
Final Fantasy XI: Wings of the Goddess,Square Enix,2007,1.0899999999999999
Final Fantasy XII,Square Enix,2006,5.95
Final Fantasy XII International Zodiac Job System,Square Enix,2007,0.11
Final Fantasy XII: Revenant Wings,Square Enix,2007,1.4000000000000001
Final Fantasy XIII,Square Enix,2009,5.37
Final Fantasy XIII,Square Enix,2010,2.16
Final Fantasy XIII-2,Square Enix,2011,3.4199999999999995
Final Fantasy XIV: A Realm Reborn,Square Enix,2010,1.51
Final Fantasy XIV: A Realm Reborn,Square Enix,2013,1.12
Final Fantasy XIV: A Realm Reborn,Square Enix,2014,0.72
Final Fantasy XIV: Heavensward,Square Enix,2015,0.16
Final Fantasy: Crystal Chronicles,Nintendo,2003,1.5
Final Fantasy: The 4 Heroes of Light,Square Enix,2009,0.6
Final Fight,Capcom,1990,1.56
Final Fight 2,Capcom,1993,1.02
Final Fight One,Ubisoft,2001,0.2
Final Fight: Streetwise,Capcom,2006,0.07
Finding Nemo,THQ,2003,6.459999999999998
Finding Nemo: Escape to the Big Blue,THQ,2006,0.16999999999999998
Finding Nemo: The Continuing Adventures,THQ,2004,0.3
Finny the Fish & the Seven Waters,Sony Computer Entertainment,2004,0.05
Fire Emblem,Nintendo,2003,0.97
Fire Emblem Fates,Nintendo,2015,1.55
Fire Emblem: Awakening,Nintendo,2012,2
Fire Emblem: Fuuin no Tsurugi,Nintendo,2002,0.39
Fire Emblem: Monsh? no Nazo,Nintendo,1994,0.7
Fire Emblem: Path of Radiance,Nintendo,2005,0.54
Fire Emblem: Radiant Dawn,Nintendo,2007,0.51
Fire Emblem: Seisen no Keifu,Nintendo,1996,0.58
Fire Emblem: Shadow Dragon,Nintendo,2008,0.64
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,Nintendo,2010,0.27
Fire Emblem: The Sacred Stones,Nintendo,2004,0.8999999999999999
Fire Emblem: Thracia 776,Nintendo,1999,0.26
Fire Pro Wrestling Returns,505 Games,2005,0.08
Fire ProWrestling,Spike,2001,0.12
Fire ProWrestling G,Human Entertainment,1999,0.19
Fire ProWrestling S: 6Men Scramble,Human Entertainment,1996,0.12
Fireball,Starpath Corp.,1981,0.32
Fireblade,Midway Games,2002,0.29000000000000004
Firefighter F.D.18,Konami Digital Entertainment,2004,0.07
Fireman Sam: Action Stations,Avanquest Software,2013,0.01
First Queen: Ornic Senki,Culture Brain,1994,0.03
Fish Tycoon,Majesco Entertainment,2007,0.26
Fishdom,Atari,2011,0.05
Fishdom 2 Deluxe,Rondomedia,2010,0.03
Fisherman's Bait 2: Big Ol' Bass,Konami Digital Entertainment,1999,0.29000000000000004
Fisherman's Bass Club,Agetec,2002,1.08
Fisherman's Challenge,Konami Digital Entertainment,2003,0.05
Fishing Master,Konami Digital Entertainment,2007,0.31
Fishing Master (jp sales),Konami Digital Entertainment,2007,0.06
Fishing Master World Tour,Hudson Entertainment,2009,0.09999999999999999
Fishing Resort,Namco Bandai Games,2011,0.42000000000000004
Fist of the North Star: Ken's Rage,Ubisoft Annecy,2010,0.8200000000000001
Fist of the North Star: Ken's Rage 2,Tecmo Koei,2012,0.36
Fist of the North Star: Ken's Rage 2,Tecmo Koei,2013,0.02
Fit & Fun,Unknown,2011,0.01
Fit in Six,Ubisoft,2011,0.25
Flash Focus: Vision Training in Minutes a Day,Nintendo,2007,3.8400000000000003
FlatOut,Empire Interactive,2004,0.56
FlatOut 2,Empire Interactive,2006,0.2
FlatOut: Head On,Empire Interactive,2008,0.3
FlatOut: Ultimate Carnage,Empire Interactive,2007,0.11000000000000001
FlatOut: Ultimate Carnage,Empire Interactive,2008,0.01
Flight Control Rocket,THQ,2005,0.44
FlingSmash,Nintendo,2010,0.48
Flipnic: Ultimate Pinball,Ubisoft,2003,0.06
Flipper Critters,Conspiracy Entertainment,2007,0.03
Flow: Urban Dance Uprising,Ubisoft,2005,0.03
"Flower, Sun, and Rain",Rising Star Games,2008,0.08
Flushed Away,D3Publisher,2006,0.25
Flying Dragon,Natsume,1997,0.1
Folklore,Sony Computer Entertainment,2007,0.33
Food Network: Cook or Be Cooked,Namco Bandai Games,2009,0.43999999999999995
Football Academy,Electronic Arts,2009,0.01
Football Director DS,Pinnacle,2008,0.1
Football Manager 2005,Sega,2004,0.01
Football Manager 2010,Sega,2009,0.06999999999999999
Football Manager 2011,Sega,2010,1.26
Football Manager 2012,Sega,2011,1.6600000000000001
Football Manager 2013,Sega,2012,1.17
Football Manager 2014,Sega,2013,0.84
Football Manager 2015,Sega,2014,0.48
Football Manager 2016,Sega,2015,0.31
Football Manager Handheld 2008,Sega,2007,0.34
Football Manager Handheld 2009,Sega,2008,0.49
Football Manager Handheld 2010,Sega,2009,0.35
Football Manager Handheld 2011,Sega,2010,0.42000000000000004
Football Manager Live,Sega,2009,0.01
Forbidden Siren 2,Sony Computer Entertainment,2006,0.08
Ford Bold Moves Street Racing,Xplosiv,2006,0.04
Ford Mustang: The Legend Lives,Take-Two Interactive,2005,0.38
Ford Racing,Empire Interactive,2001,0.87
Ford Racing 2,Empire Interactive,2003,1.15
Ford Racing 3,Take-Two Interactive,2004,0.35
Ford Racing 3,Zoo Digital Publishing,2005,0.16
Ford Racing Off Road,Xplosiv,2008,0.8300000000000001
Ford vs. Chevy,Global Star,2005,0.31
Forever Kingdom,From Software,2001,0.09
Forgotten Realms: Demon Stone,Atari,2004,0.29000000000000004
Formula 1,Psygnosis,1996,0.77
Formula 1 06,Sony Computer Entertainment,2006,0.04
Formula 1 Championship Edition,Psygnosis,1997,0.35000000000000003
Formula 1: Championship Edition,Sony Computer Entertainment,2006,0.61
Formula One 2001,Sony Computer Entertainment,2001,0.26
Formula One World Championship: Beyond the Limit,Sega,1994,0.07
Forsaken,Acclaim Entertainment,1998,0.24
Fortress,Majesco Entertainment,2001,0.32
Fortune Street,Nintendo,2011,0.5
Forza Horizon,Microsoft Game Studios,2012,2.02
Forza Horizon 2,Microsoft Game Studios,2014,2.23
Forza Horizon 3,Microsoft Game Studios,2016,0.38
Forza Motorsport,Microsoft Game Studios,2005,1.05
Forza Motorsport 2,Microsoft Game Studios,2007,4.07
Forza Motorsport 3,Microsoft Game Studios,2009,5.52
Forza Motorsport 3: Ultimate Edition,Microsoft Game Studios,2010,0.05
Forza Motorsport 4,Microsoft Game Studios,2011,4.65
Forza Motorsport 5,Microsoft Game Studios,2013,2.17
Forza Motorsport 6,Microsoft Game Studios,2015,1.75
Fossil Fighters,Nintendo,2008,0.8999999999999999
Fossil Fighters (JP sales),Nintendo,2008,0.3
Fossil Fighters: Champions,Nintendo,2010,0.68
Fossil Fighters: Frontier,Nintendo,2014,0.36
Foster's Home for Imaginary Friends: Imagination Invaders,Midway Games,2007,0.06
Foto Frenzy: Spot The Diffrence,Storm City Games,2009,0.31
Foto Showdown,Unknown,2010,0.03
Fox Sports College Hoops '99,Fox Interactive,1998,0.25
Fox Sports Golf '99,Gremlin Interactive Ltd,1997,0.14
FoxKids.com Micro Maniacs Racing,Codemasters,2000,0.11
Fracture,LucasArts,2008,0.5
Fragile Dreams: Farewell Ruins of the Moon,Rising Star Games,2009,0.38
Frank Thomas Big Hurt Baseball,Acclaim Entertainment,1996,0.14
Frankenstein's Monster,Data Age,1982,0.32
Franklin the Turtle,Game Factory,2005,0.03
Franklin: A Birthday Surprise,Game Factory,2006,0.02
Franklin's Great Adventures,Game Factory,2006,0.02
Frantix,Ubisoft,2005,0.09
Freaky Flyers,Midway Games,2003,0.13
Freddi Fish: ABC under the sea,Atari,2008,0.14
Freddi Fish: Kelp Seed Mystery,Majesco Entertainment,2008,0.06
Free Running,Reef Entertainment,2009,0.04
Freedom Fighters,Electronic Arts,2003,0.8800000000000001
Freedom Wars,Sony Computer Entertainment,2014,0.78
Freedom Wings,Natsume,2006,0.02
Freekstyle,Electronic Arts,2002,1.16
Freekstyle,Zoo Digital Publishing,2003,0.01
Freelancer,Microsoft Game Studios,2003,0.05
Freestyle Metal X,Midway Games,2003,0.11000000000000001
Freeway,Activision,1980,0.34
Frequency,Sony Computer Entertainment,2001,0.18
Fresh PreCure! Asobi Collection,Namco Bandai Games,2009,0.09
Freshly-Picked: Tingle's Rosy Rupeeland,Nintendo,2006,0.25
Friend Collection,Nintendo,2009,3.67
Friends: The One with All the Trivia,Warner Bros. Interactive Entertainment,2005,0.06
Frisbee Disc Freestyle / Frisbee Disc Golf,DSI Games,2007,0.02
Fritz Chess,Deep Silver,2009,0.09
Frogger,Hasbro Interactive,1997,4.17
Frogger,Parker Bros.,1981,2.2
Frogger 2: Swampy's Revenge,Hasbro Interactive,1999,1.4300000000000002
Frogger 3D,Konami Digital Entertainment,2011,0.2
Frogger Advance: The Great Quest,Konami Digital Entertainment,2002,0.07
Frogger Beyond,Konami Digital Entertainment,2002,0.21000000000000002
Frogger II: Threeedeep!,Parker Bros.,1983,0.33
Frogger: Ancient Shadow,Konami Digital Entertainment,2005,0.18
Frogger: Helmet Chaos,Konami Digital Entertainment,2005,0.16999999999999998
Frogger: The Great Quest,Konami Digital Entertainment,2001,1.2299999999999998
Frogger's Adventures 2: The Lost Wand,Konami Digital Entertainment,2002,0.19
Frogger's Adventures: The Rescue,Konami Digital Entertainment,2003,0.47
Frogger's Journey: The Forgotten Relic,Konami Digital Entertainment,2003,0.25
Frogs And Flies,Mattel Interactive,1981,0.35000000000000003
From Russia With Love,Electronic Arts,2005,0.8300000000000001
From Russia With Love,Electronic Arts,2006,0.09000000000000001
From The Abyss,Nobilis,2008,0.06
From TV Animation One Piece: Grand Battle 2,Namco Bandai Games,2002,0.6000000000000001
From TV Animation One Piece: Grand Battle! 3,Namco Bandai Games,2003,0.53
From TV Animation One Piece: Tobidase Kaizokudan!,Namco Bandai Games,2001,0.34
From TV Animation One Piece: Treasure Battle!,Namco Bandai Games,2002,0.29000000000000004
From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,Banpresto,2001,0.39
Front Line,Taito,1981,0.23
Front Mission,Square Enix,2007,0.04
Front Mission,SquareSoft,1995,0.6
Front Mission 2,SquareSoft,1997,0.52
Front Mission 2089: Border of Madness,Square Enix,2008,0.05
Front Mission 3,SquareSoft,1999,0.51
Front Mission 4,Square Enix,2003,0.54
Front Mission 5: Scars of the War,Square Enix,2005,0.21
Front Mission Alternative,SquareSoft,1997,0.14
Front Mission Evolved,Square Enix,2010,0.5599999999999999
Front Mission: Gun Hazard,SquareSoft,1996,0.24
Frontier Gate,Konami Digital Entertainment,2011,0.11
Frontlines: Fuel of War,THQ,2008,0.5700000000000001
Frostbite,Activision,1983,0.34
Frozen: Olaf's Quest,Disney Interactive Studios,2013,1.27
Fuel,Codemasters,2009,0.59
Fugitive Hunter: War on Terror,Play It,2003,0.15000000000000002
Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,Namco Bandai Games,2014,0.01
Full Auto,Sega,2006,0.22
Full Auto 2: Battlelines,Sega,2006,0.18000000000000002
Full Auto 2: Battlelines,Sega,2007,0.01
Full House Kiss 2,Capcom,2006,0.02
Full Spectrum Warrior,THQ,2004,0.73
Full Spectrum Warrior,THQ,2005,0.3
Full Spectrum Warrior: Ten Hammers,THQ,2006,0.1
Fullmetal Alchemist 2: Curse of the Crimson Elixir,Square Enix,2004,0.26
Fullmetal Alchemist and the Broken Angel,Square Enix,2003,0.5700000000000001
Fullmetal Alchemist: Dual Sympathy,Empire Interactive,2005,0.09
Fullmetal Alchemist: Prince of the Dawn,Square Enix,2009,0.01
Fullmetal Alchemist: Trading Card Game,Destineer,2007,0.01
FunkMaster Flex's Digital Hitz Factory,Jester Interactive,2003,0.03
Funky Barn,Ubisoft,2012,0.11000000000000001
Fur Fighters: Viggo's Revenge,Acclaim Entertainment,2001,0.14
Furious Karting,Atari,2003,0.01
Furu Furu Park,Taito,2007,0.05
Fuse (Insomniac),Electronic Arts,2013,0.25
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,ChunSoft,2000,0.37
Fushigi no Dungeon: Fuurai no Shiren 3 Portable,Spike,2010,0.05
Fushigi no Dungeon: Fuurai no Shiren 5 - Fortune Tower to Unmei no Dice,ChunSoft,2010,0.04
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,ChunSoft,1996,0.27
Fushigi? Kagaku: Nazotoki Quiz Training - NazoTore,Benesse,2008,0.05
Futurama,SCi,2003,0.12
Future Card Buddy Fight: Yuujou no Bakunetsu Fight,FuRyu,2015,0.07
Future Cop L.A.P.D.,Electronic Arts,1997,0.29
Future Tactics: The Uprising,Crave Entertainment,2004,0.07
Future Tactics: The Uprising,JoWood Productions,2004,0.05
futureU: The Prep Game for SAT,Aspyr,2008,0.08
Fuun Shinsengumi Bakumatsuden Portable,From Software,2009,0.01
Fuuraiki 3,Unknown,2015,0.01
Fuzion Frenzy,Microsoft Game Studios,2001,1.21
Fuzion Frenzy 2,Microsoft Game Studios,2007,0.16
F-Zero,Nintendo,1990,2.84
F-Zero GX,Nintendo,2003,0.66
F-Zero X,Nintendo,1998,1.1
F-Zero: GP Legend,Nintendo,2003,0.15
F-Zero: Maximum Velocity,Nintendo,2001,1.04
G Darius,THQ,1997,0.07
G.I. Joe: The Rise of Cobra,Electronic Arts,2009,1.0900000000000003
G1 Grand Prix,Genki,2012,0.05
G1 Jockey 2,Tecmo Koei,2000,0.06
G1 Jockey 3,THQ,2002,0.1
G1 Jockey 4 2007,Tecmo Koei,2007,0.01
G1 Jockey 4 2008,Tecmo Koei,2008,0.01
G1 Jockey Wii,Tecmo Koei,2007,0.03
GA - Geijutsuka Art Design Class: Slapstick Wonder Land,Russel,2010,0.02
Gabrielle's Ghostly Groove 3D,Funbox Media,2011,0.11
Gacharoku,Sony Computer Entertainment,2002,0.03
GachiTora! Abarenbou Kyoushi in High School,Spike,2011,0.05
Gadget Racers,Midas Interactive Entertainment,2000,0.08
Gadget Racers (PAL),Zoo Digital Publishing,2002,0.02
Gaia Saver Hero Saidai no Sakusen,Banpresto,1994,0.03
Gaist Crusher,Capcom,2013,0.05
Gaist Crusher God,Capcom,2014,0.02
Gakken DS: Shin TOEIC Test Kanzen Kouryaku,Gakken,2007,0.02
Gaku ? Ou: The Royal Seven Stars,Alchemist,2012,0.02
Gakuen Alice: WakuWaku * Happy Friends,Kids Station,2007,0.03
Gakuen Hetalia,Idea Factory,2012,0.01
Gakuen Hetalia Portable,Idea Factory,2011,0.04
Gakuen K: Wonderful School Days,Idea Factory,2014,0.02
Gakusen Toshi Asterisk Festa: Houka Kenran,Namco Bandai Games,2016,0.03
